rank,id,source_url,manual_review_status,issues,required_action,broker_confirm,availability_confirmation,facts_reviewer,media_reviewer,approved_at
20,MS-CRAWL-0113,https://makler-realty.com/listing/zwei-zimmer-wohnung-zum-verkauf-in-park-hotel-pirin-sandanski/,pass,,"Use the observed source facts but keep publication gated until the broker confirms availability, price, deed area and maintenance terms.","broker_confirm_current_availability|broker_confirm_price_or_price_on_request|broker_confirm_property_scope_and_type|broker_confirm_location_and_public_precision|broker_confirm_area_semantics_or_explicit_unknown|broker_confirm_media_selection|assign_verified_public_contact|human_approve_seo|current availability|EUR 250,000 asking price|93 sqm deed or gross area basis|current mandatory and optional maintenance fees|included furniture and appliances",,,,
21,MS-CRAWL-0117,https://makler-realty.ru/listing/%d0%b4%d0%be%d0%bc-%d0%b2-%d0%b4%d0%b5%d1%80%d0%b5%d0%b2%d0%bd%d0%b5-%d1%81%d0%bf%d0%b0%d1%82%d0%be%d0%b2%d0%be-%d0%bc%d1%83%d0%bd%d0%b8%d1%86%d0%b8%d0%bf%d0%b0%d0%bb%d0%b8%d1%82%d0%b5%d1%82-%d1%81/,pass,,Use the observed facts but keep publication gated until the broker confirms availability and whether the 56 sqm includes the attic.,"broker_confirm_current_availability|broker_confirm_price_or_price_on_request|broker_confirm_property_scope_and_type|broker_confirm_location_and_public_precision|broker_confirm_area_semantics_or_explicit_unknown|broker_confirm_media_selection|assign_verified_public_contact|human_approve_seo|current availability|EUR 60,000 asking price|56 sqm area basis|legal and finished status of the attic|475 sqm cadastral parcel area",,,,
22,MS-CRAWL-0118,https://makler-realty.ru/listing/%d0%b4%d0%be%d0%bc-%d0%bd%d0%b0-%d0%bf%d1%80%d0%be%d0%b4%d0%b0%d0%b6%d1%83-%d0%b2-%d1%81%d0%b5%d0%bb%d0%b5-%d0%bf%d0%b5%d1%82%d1%80%d0%be%d0%b2%d0%be-%d0%bc%d1%83%d0%bd%d0%b8%d1%86%d0%b8%d0%bf%d0%b0/,pass,,"Use two existing bedrooms, not the possible future rooms, and keep publication gated until broker confirmation.","broker_confirm_current_availability|broker_confirm_price_or_price_on_request|broker_confirm_property_scope_and_type|broker_confirm_location_and_public_precision|broker_confirm_area_semantics_or_explicit_unknown|broker_confirm_media_selection|assign_verified_public_contact|human_approve_seo|current availability|EUR 45,000 asking price|163 sqm area basis and attic inclusion|two existing bedrooms|600 sqm cadastral parcel area|current condition of each floor",,,,
23,MS-CRAWL-0129,https://makler-realty.ru/listing/%d0%bf%d1%80%d0%be%d0%b4%d0%b0%d0%b6%d0%b0-%d0%b4%d0%be%d0%bc%d0%b0-%d0%b2-%d0%b2%d0%b8%d0%bd%d0%be%d0%b3%d1%80%d0%b0%d0%b4%d0%b8-%d0%bc%d0%b5%d0%bb%d0%bd%d0%b8%d0%ba/,pass,,"Use the observed facts but keep publication gated until the broker confirms availability, price and legal areas.","broker_confirm_current_availability|broker_confirm_price_or_price_on_request|broker_confirm_property_scope_and_type|broker_confirm_location_and_public_precision|broker_confirm_area_semantics_or_explicit_unknown|broker_confirm_media_selection|assign_verified_public_contact|human_approve_seo|current availability|EUR 79,900 asking price|90 sqm legal house area|350 sqm cadastral parcel area|included furniture and appliances",,,,
24,MS-CRAWL-0136,https://makler-realty.ru/listing/%d0%bf%d1%80%d0%be%d0%b4%d0%b0%d0%b6%d0%b0-%d0%bd%d0%b5%d0%b4%d0%b2%d0%b8%d0%b6%d0%b8%d0%bc%d0%be%d1%81%d1%82%d0%b8-%d0%b2-%d0%bb%d0%b5%d0%b2%d1%83%d0%bd%d0%be%d0%b2%d0%be/,pass,,Use the observed land facts but keep publication gated until the broker confirms the old structure and utilities.,"broker_confirm_current_availability|broker_confirm_price_or_price_on_request|broker_confirm_property_scope_and_type|broker_confirm_location_and_public_precision|broker_confirm_area_semantics_or_explicit_unknown|broker_confirm_media_selection|assign_verified_public_contact|human_approve_seo|current availability|EUR 18,000 asking price|658 sqm cadastral area|legal status and area of the old structure|current utility availability",,,,
25,MS-CRAWL-0150,https://makler-realty.ru/listing/%d1%81%d0%b5%d0%bb%d1%8c%d1%85%d0%be%d0%b7-%d0%b7%d0%b5%d0%bc%d0%bb%d1%8f-%d0%b2-%d1%80%d0%b0%d0%b9%d0%be%d0%bd%d0%b5-%d0%b4%d0%b5%d1%80%d0%b5%d0%b2%d0%bd%d0%b8-%d0%bb%d0%b5%d1%88%d0%bd%d0%b8%d1%86/,pass,,Use the observed facts but keep publication gated until cadastral and availability confirmation.,"broker_confirm_current_availability|broker_confirm_price_or_price_on_request|broker_confirm_property_scope_and_type|broker_confirm_location_and_public_precision|broker_confirm_area_semantics_or_explicit_unknown|broker_confirm_media_selection|assign_verified_public_contact|human_approve_seo|current availability|EUR 9,000 asking price|8,000 sqm cadastral area|category-6 agricultural status|exact parcel identifier and locality",,,,
26,MS-CRAWL-0152,https://makler-realty.ru/listing/%d1%83%d1%87%d0%b0%d1%81%d1%82%d0%be%d0%ba-%d0%b2-%d0%bf%d0%be%d1%81%d0%b5%d0%bb%d0%ba%d0%b5-%d0%bb%d0%b5%d1%88%d0%bd%d0%b8%d1%86%d0%b0-%d1%80%d0%b0%d0%b9%d0%be%d0%bd-%d0%b3%d0%be%d1%80/,pass,,"Use the parcel area as observed, while keeping planning claims gated until broker/cadastral confirmation.","broker_confirm_current_availability|broker_confirm_price_or_price_on_request|broker_confirm_property_scope_and_type|broker_confirm_location_and_public_precision|broker_confirm_area_semantics_or_explicit_unknown|broker_confirm_media_selection|assign_verified_public_contact|human_approve_seo|current availability|EUR 14,000 asking price|2,505 sqm cadastral area|current 1,000 sqm buildable designation|current 240 sqm footprint and 500 sqm total-build limits|utility connection distances",,,,
27,MS-CRAWL-0153,https://makler-realty.ru/listing/%d1%83%d1%87%d0%b0%d1%81%d1%82%d0%be%d0%ba-%d0%b2-%d0%bf%d0%be%d1%81%d0%b5%d0%bb%d0%ba%d0%b5-%d1%81%d1%82%d1%80%d1%83%d0%bc%d1%8f%d0%bd%d0%b8/,pass,,"Use the observed source facts but keep publication gated until cadastral, planning and availability confirmation.","broker_confirm_current_availability|broker_confirm_price_or_price_on_request|broker_confirm_property_scope_and_type|broker_confirm_location_and_public_precision|broker_confirm_area_semantics_or_explicit_unknown|broker_confirm_media_selection|assign_verified_public_contact|human_approve_seo|current availability|EUR 25,000 asking price|734 sqm cadastral area|current residential planning status|parcel identifier|current utility connections",,,,
28,MS-CRAWL-0155,https://makler-realty.ru/listing/%d1%83%d1%87%d0%b0%d1%81%d1%82%d0%be%d0%ba-%d0%bf%d0%be%d0%b4-%d0%b7%d0%b0%d1%81%d1%82%d1%80%d0%be%d0%b9%d0%ba%d1%83-%d0%b2-%d1%81%d0%b0%d0%bd%d0%b4%d0%b0%d0%bd%d1%81%d0%ba%d0%b8/,pass,,Use the whole-parcel facts; treat subdivision as an unverified option and add more current media when available.,"broker_confirm_current_availability|broker_confirm_price_or_price_on_request|broker_confirm_property_scope_and_type|broker_confirm_location_and_public_precision|broker_confirm_area_semantics_or_explicit_unknown|broker_confirm_media_selection|assign_verified_public_contact|human_approve_seo|current availability|EUR 76,580 asking price|2,735 sqm cadastral area|exact Polenitsa locality|current buildability and subdivision feasibility|utility connections",,,,
29,MS-CRAWL-0156,https://makler-realty.ru/listing/%d1%83%d1%87%d0%b0%d1%81%d1%82%d0%be%d0%ba-%d0%bf%d0%be%d0%b4-%d0%b7%d0%b0%d1%81%d1%82%d1%80%d0%be%d0%b9%d0%ba%d1%83-%d0%bb%d0%b0%d1%81%d0%ba%d0%b0%d1%80%d0%b5%d0%b2%d0%be/,pass,,"Use the observed source facts but keep publication gated until cadastral, planning, utility and availability confirmation.","broker_confirm_current_availability|broker_confirm_price_or_price_on_request|broker_confirm_property_scope_and_type|broker_confirm_location_and_public_precision|broker_confirm_area_semantics_or_explicit_unknown|broker_confirm_media_selection|assign_verified_public_contact|human_approve_seo|current availability|EUR 16,000 asking price|952 sqm cadastral area|current building status|electricity and water connection distances|parcel identifier",,,,
30,MS-CRAWL-0164,https://makler-realty.ru/listing/paralia-ofrinio-kvartira/,pass,,Use 42 sqm as the source-stated legal area and do not import the 65-70 sqm Bulgarian comparison as a property fact.,"broker_confirm_current_availability|broker_confirm_price_or_price_on_request|broker_confirm_property_scope_and_type|broker_confirm_location_and_public_precision|broker_confirm_area_semantics_or_explicit_unknown|broker_confirm_media_selection|assign_verified_public_contact|human_approve_seo|current availability|EUR 139,000 asking price|42 sqm legal/deed area|two-bedroom layout|included kitchen and finishes|Greek property identifier and transaction authority",,,,
